"","station","g2x2","g3x3","g4x4","g5x5"
"1",1,1,1,1,1
"2",2,1,1,1,1
"3",3,6,1,1,1
"4",4,6,4,1,1
"5",5,11,4,3,1
"6",6,11,4,3,3
"7",7,16,7,3,3
"8",8,16,7,3,3
"9",9,21,7,0,3
"10",10,21,0,0,3
"11",11,1,1,1,1
"12",12,1,1,1,1
"13",13,6,1,1,1
"14",14,6,4,1,1
"15",15,11,4,3,1
"16",16,11,4,3,3
"17",17,16,7,3,3
"18",18,16,7,3,3
"19",19,21,7,0,3
"20",20,21,0,0,3
"21",21,2,1,1,1
"22",22,2,1,1,1
"23",23,7,1,1,1
"24",24,7,4,1,1
"25",25,12,4,3,1
"26",26,12,4,3,3
"27",27,17,7,3,3
"28",28,17,7,3,3
"29",29,22,7,0,3
"30",30,22,0,0,3
"31",31,2,2,1,1
"32",32,2,2,1,1
"33",33,7,2,1,1
"34",34,7,5,1,1
"35",35,12,5,3,1
"36",36,12,5,3,3
"37",37,17,8,3,3
"38",38,17,8,3,3
"39",39,22,8,0,3
"40",40,22,0,0,3
"41",41,3,2,2,1
"42",42,3,2,2,1
"43",43,8,2,2,1
"44",44,8,5,2,1
"45",45,13,5,4,1
"46",46,13,5,4,3
"47",47,18,8,4,3
"48",48,18,8,4,3
"49",49,23,8,0,3
"50",50,23,0,0,3
"51",51,3,2,2,2
"52",52,3,2,2,2
"53",53,8,2,2,2
"54",54,8,5,2,2
"55",55,13,5,4,2
"56",56,13,5,4,4
"57",57,18,8,4,4
"58",58,18,8,4,4
"59",59,23,8,0,4
"60",60,23,0,0,4
"61",61,4,3,2,2
"62",62,4,3,2,2
"63",63,9,3,2,2
"64",64,9,6,2,2
"65",65,14,6,4,2
"66",66,14,6,4,4
"67",67,19,9,4,4
"68",68,19,9,4,4
"69",69,24,9,0,4
"70",70,24,0,0,4
"71",71,4,3,2,2
"72",72,4,3,2,2
"73",73,9,3,2,2
"74",74,9,6,2,2
"75",75,14,6,4,2
"76",76,14,6,4,4
"77",77,19,9,4,4
"78",78,19,9,4,4
"79",79,24,9,0,4
"80",80,24,0,0,4
"81",81,5,3,0,2
"82",82,5,3,0,2
"83",83,10,3,0,2
"84",84,10,6,0,2
"85",85,15,6,0,2
"86",86,15,6,0,4
"87",87,20,9,0,4
"88",88,20,9,0,4
"89",89,25,9,0,4
"90",90,25,0,0,4
"91",91,5,0,0,2
"92",92,5,0,0,2
"93",93,10,0,0,2
"94",94,10,0,0,2
"95",95,15,0,0,2
"96",96,15,0,0,4
"97",97,20,0,0,4
"98",98,20,0,0,4
"99",99,25,0,0,4
"100",100,25,0,0,4
