,SS,Visits
42,BG_1_149,2
70,BG_1_59,1
79,BG_1_72,1
81,BG_1_74,2
94,BG_1_96,1
134,BG_10_42,2
138,BG_10_46,1
149,BG_10_56,2
157,BG_10_64,1
189,BG_10_96,2
348,BG_12_59,2
384,BG_12_91,2
426,BG_13_39,2
515,BG_14_3,2
549,BG_14_60,1
693,BG_16_11,2
694,BG_16_13,1
698,BG_16_18,2
702,BG_16_22,2
710,BG_16_3,2
712,BG_16_31,2
713,BG_16_32,2
721,BG_16_4,2
725,BG_16_43,1
737,BG_16_54,2
740,BG_16_57,2
745,BG_16_61,2
749,BG_16_65,2
754,BG_16_71,2
759,BG_16_76,2
762,BG_16_79,2
763,BG_16_8,1
771,BG_16_88,2
778,BG_16_94,1
816,BG_17_40,2
819,BG_17_43,2
823,BG_17_47,2
831,BG_17_54,2
835,BG_17_58,2
844,BG_17_66,1
857,BG_17_80,2
858,BG_17_81,2
884,BG_18_14,1
901,BG_18_3,2
915,BG_18_43,2
980,BG_19_21,2
1021,BG_2_21,2
1028,BG_2_28,2
1038,BG_2_37,2
1039,BG_2_38,2
1059,BG_2_56,2
1072,BG_2_68,2
1082,BG_2_77,2
1100,BG_2_93,2
1108,BG_3_100,2
1109,BG_3_12,1
1111,BG_3_14,2
1118,BG_3_22,2
1127,BG_3_32,2
1142,BG_3_48,1
1143,BG_3_49,2
1145,BG_3_52,2
1149,BG_3_56,2
1151,BG_3_58,2
1155,BG_3_63,2
1158,BG_3_66,2
1159,BG_3_67,2
1165,BG_3_74,1
1166,BG_3_75,2
1167,BG_3_76,2
1168,BG_3_77,2
1170,BG_3_79,2
1172,BG_3_82,2
1175,BG_3_85,2
1176,BG_3_86,2
1178,BG_3_88,2
1181,BG_3_90,2
1182,BG_3_92,1
1184,BG_3_94,2
1185,BG_3_95,2
1192,BG_4_100,2
1201,BG_4_19,2
1205,BG_4_22,2
1207,BG_4_24,1
1213,BG_4_3,2
1235,BG_4_5,2
1242,BG_4_56,2
1243,BG_4_57,2
1255,BG_4_68,1
1257,BG_4_7,2
1268,BG_4_8,2
1273,BG_4_84,2
1279,BG_4_9,2
1281,BG_4_91,2
1282,BG_4_92,2
1283,BG_4_93,2
1447,BG_6_61,2
1461,BG_6_74,1
1462,BG_6_75,2
1496,BG_7_17,1
1545,BG_7_62,2
1565,BG_7_80,2
1644,BG_8_62,1
