"","L4x4","X1_sum","X2_sum","X3_sum","X4_sum"
"1","L-1-0",4,8,5,5
"2","L-1-1",4,4,2,0
"3","L-1-2",5,4,4,3
"4","L-1-3",2,3,2,1
"5","L-1-4",1,1,0,0
"6","L-10-0",37,31,35,26
"7","L-10-1",9,8,14,4
"8","L-10-2",12,18,17,7
"9","L-10-3",6,10,8,1
"10","L-10-4",8,14,10,6
"11","L-11-0",12,11,20,11
"12","L-11-1",6,6,12,6
"13","L-11-2",7,7,9,6
"14","L-11-3",8,7,9,5
"15","L-11-4",5,4,6,2
"16","L-12-0",13,13,9,10
"17","L-12-1",7,6,6,3
"18","L-12-2",6,8,7,9
"19","L-12-3",4,7,9,3
"20","L-12-4",6,7,2,4
"21","L-13-0",19,22,19,15
"22","L-13-1",21,19,24,18
"23","L-13-2",9,11,6,3
"24","L-13-3",19,12,20,20
"25","L-13-4",13,13,14,15
"26","L-14-0",28,25,26,26
"27","L-14-1",22,18,19,11
"28","L-14-2",26,28,28,24
"29","L-14-3",13,16,17,13
"30","L-14-4",14,13,17,15
"31","L-15-0",24,15,24,20
"32","L-15-1",11,9,8,6
"33","L-15-2",4,11,6,7
"34","L-15-3",6,7,4,1
"35","L-15-4",6,9,4,11
"36","L-16-0",2,1,1,1
"37","L-16-1",0,0,0,0
"38","L-16-2",1,0,0,1
"39","L-16-3",0,0,0,0
"40","L-16-4",0,1,1,1
"41","L-17-0",2,3,0,1
"42","L-17-1",3,3,4,1
"43","L-17-2",2,3,2,0
"44","L-17-3",4,4,2,3
"45","L-17-4",1,0,2,0
"46","L-18-0",4,10,5,2
"47","L-18-1",0,0,0,0
"48","L-18-2",1,1,1,0
"49","L-18-3",4,2,2,3
"50","L-18-4",0,1,3,0
"51","L-19-0",0,3,3,2
"52","L-19-1",3,1,5,2
"53","L-19-2",3,2,2,4
"54","L-19-3",1,5,5,4
"55","L-19-4",4,3,4,2
"56","L-2-0",19,13,19,16
"57","L-2-1",5,9,7,8
"58","L-2-2",6,9,8,6
"59","L-2-3",5,6,5,4
"60","L-2-4",6,7,4,2
"61","L-3-0",18,20,15,9
"62","L-3-1",3,3,2,0
"63","L-3-2",9,8,3,7
"64","L-3-3",7,9,6,0
"65","L-3-4",2,3,0,1
"66","L-4-0",12,14,8,5
"67","L-4-1",5,4,6,1
"68","L-4-2",3,3,7,4
"69","L-4-3",8,8,12,2
"70","L-4-4",6,9,7,3
"71","L-5-0",10,10,17,14
"72","L-5-1",7,4,7,5
"73","L-5-2",1,6,7,3
"74","L-5-3",4,4,4,2
"75","L-5-4",3,6,5,5
"76","L-6-0",14,14,15,11
"77","L-6-1",4,8,6,8
"78","L-6-2",6,4,7,7
"79","L-6-3",7,6,1,9
"80","L-6-4",9,12,7,9
"81","L-7-0",22,17,23,18
"82","L-7-1",7,9,4,6
"83","L-7-2",6,7,7,5
"84","L-7-3",9,12,15,9
"85","L-7-4",9,16,11,9
"86","L-8-0",31,34,45,43
"87","L-8-1",14,12,12,14
"88","L-8-2",16,13,20,14
"89","L-8-3",16,17,23,15
"90","L-8-4",12,17,16,19
"91","L-9-0",14,14,7,8
"92","L-9-1",4,4,4,3
"93","L-9-2",11,4,7,6
"94","L-9-3",15,10,11,7
"95","L-9-4",5,2,2,1
