"","L5x5","X1_mean","X2_mean","X3_mean","X4_mean"
"1","L-1-1",5.07692307692308,5.84615384615385,6.61538461538461,6.23076923076923
"2","L-1-2",5.35714285714286,5.30769230769231,7.16666666666667,7
"3","L-1-3",5.5,6.14285714285714,6.28571428571429,6.85714285714286
"4","L-1-4",4.88888888888889,5.35294117647059,5.4375,6.4375
"5","L-10-1",5.53266666666667,5.48533333333333,5.45694444444444,5.42261904761905
"6","L-10-2",5.3695652173913,5.40075757575757,5.41818181818182,5.42333333333333
"7","L-10-3",5.42847222222222,5.41086956521739,5.40869565217391,5.4
"8","L-10-4",5.4036231884058,5.40942028985507,5.43333333333333,5.45520833333333
"9","L-11-1",4.61466666666667,4.632,4.68466666666667,4.74513888888889
"10","L-11-2",4.756,4.70133333333333,4.66466666666667,4.65909090909091
"11","L-11-3",4.61376811594203,4.62463768115942,4.65652173913043,4.69803921568627
"12","L-11-4",4.74305555555555,4.69236111111111,4.65972222222222,4.62698412698413
"13","L-12-1",4.93666666666667,4.94333333333333,4.926,4.91176470588235
"14","L-12-2",4.936,4.91333333333333,4.90347222222222,4.91842105263158
"15","L-12-3",4.90866666666667,4.894,4.89,4.88888888888889
"16","L-12-4",4.926,4.902,4.87971014492754,4.87745098039216
"17","L-13-1",4.888,4.84333333333333,4.83266666666667,4.80873015873016
"18","L-13-2",4.93066666666667,4.90533333333333,4.88733333333333,4.89126984126984
"19","L-13-3",4.92708333333333,4.97361111111111,4.86111111111111,4.84166666666667
"20","L-13-4",4.91458333333333,4.89513888888889,4.87777777777778,4.8547619047619
"21","L-14-1",4.904,4.91666666666667,4.92753623188406,4.93684210526316
"22","L-14-2",4.89066666666666,4.902,4.916,4.94666666666667
"23","L-14-3",4.86733333333333,4.88266666666667,4.9,4.9475
"24","L-14-4",4.872,4.87083333333333,4.87753623188406,4.90208333333333
"25","L-15-1",5.07083333333333,5.04930555555556,5.03958333333333,5.03730158730159
"26","L-15-2",4.964,4.98933333333333,5.00277777777778,4.96428571428571
"27","L-15-3",5.00533333333333,4.96466666666667,4.96597222222222,4.98985507246377
"28","L-15-4",4.98263888888889,4.98958333333333,4.97013888888889,5.00454545454545
"29","L-16-1",5.24621212121212,5.24705882352941,5.21111111111111,5.20555555555556
"30","L-16-2",5.21041666666667,5.22246376811594,5.21458333333333,5.22727272727273
"31","L-16-3",5.27533333333333,5.21388888888889,5.20942028985507,5.21666666666667
"32","L-16-4",5.23571428571428,5.23571428571429,5.23111111111111,5.27424242424242
"33","L-17-1",5.31376811594203,5.26739130434783,5.25833333333333,5.24583333333333
"34","L-17-2",5.26597222222222,5.27013888888889,5.27777777777778,5.31372549019608
"35","L-17-3",5.25555555555556,5.24275362318841,5.24583333333333,5.23452380952381
"36","L-17-4",5.23636363636364,5.25793650793651,5.26018518518519,5.30454545454545
"37","L-18-1",4.85833333333333,4.87826086956522,4.90984848484849,4.984375
"38","L-18-2",4.87291666666667,4.88819444444444,4.91944444444444,4.94035087719298
"39","L-18-3",4.89565217391304,4.91818181818182,4.96416666666667,4.97291666666667
"40","L-18-4",4.87933333333333,4.9,4.95694444444444,4.95757575757576
"41","L-19-1",5.77916666666667,5.66904761904762,5.61666666666667,5.71
"42","L-19-2",5.64166666666667,5.59166666666667,5.6,5.68333333333333
"43","L-19-3",5.74444444444444,5.65462962962963,5.6421568627451,5.66538461538462
"44","L-19-4",5.84166666666667,5.69166666666667,5.58333333333333,5.65833333333333
"45","L-2-1",5,5,5,5
"46","L-2-2",5,4.875,5,5
"47","L-2-3",5,5,5,5
"48","L-2-4",5,5,5,5
"49","L-3-1",5,5,5,5
"50","L-3-2",5,5,5,5
"51","L-3-3",5,5,5,5
"52","L-3-4",5,5,5,5
"53","L-4-1",5,5.04166666666667,5,5
"54","L-4-2",5,4.99583333333333,4.99298245614035,4.99027777777778
"55","L-4-3",5,5,5,5
"56","L-4-4",5,5,4.99285714285714,4.98148148148148
"57","L-5-1",5.258,5.26333333333333,5.66533333333333,5.34533333333333
"58","L-5-2",5.36333333333334,5.27333333333333,5.38533333333333,5.54533333333333
"59","L-5-3",5.23866666666667,5.35933333333333,5.356,5.55666666666667
"60","L-5-4",5.26133333333334,5.23466666666667,5.25666666666667,5.35133333333333
"61","L-6-1",4.486,4.29861111111111,4.51060606060606,4.51481481481482
"62","L-6-2",5.25933333333333,5.21180555555556,5.2030303030303,5.20777777777778
"63","L-6-3",4.31527777777778,4.03680555555556,4.52753623188406,4.57
"64","L-6-4",5.28333333333333,5.24420289855072,5.23913043478261,5.19736842105263
"65","L-7-1",4.88402777777778,5.25208333333333,4.93768115942029,5.04035087719298
"66","L-7-2",4.99930555555556,4.96111111111111,5.07651515151515,5.02647058823529
"67","L-7-3",5.25138888888889,5.21388888888889,5.18402777777778,5.23333333333333
"68","L-7-4",4.99513888888889,5.05833333333333,5.1939393939394,4.98859649122807
"69","L-8-1",3.704,4.066,4.32608695652174,4.06578947368421
"70","L-8-2",3.49733333333333,3.63958333333333,3.8780303030303,3.51349206349206
"71","L-8-3",3.548,3.59,3.47066666666667,4.0984126984127
"72","L-8-4",3.40555555555556,3.71736111111111,3.88840579710145,4.10072463768116
"73","L-9-1",5.20144927536232,5.15289855072464,4.43968253968254,5.19444444444445
"74","L-9-2",5.04513888888889,4.8427536231884,5.28095238095238,5.21333333333333
"75","L-9-3",5.18933333333333,4.89066666666667,5.11811594202899,4.48611111111111
"76","L-9-4",5.488,4.89266666666667,4.70877192982456,4.45952380952381
