SS,PKEY,PCODE,METHOD,SITE,STN,ROUND,YEAR,MONTH,DAY,HOUR,MIN,PART,MAXDUR,MAXDIS,DURMETH,DISMETH,ROAD,DATE,JULIAN,JDAY,srise,start_time,MDT_offset,TSSR,TSSR_orig,X,Y
BG-0001-028,BG-0001-02805-Jul-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-028,1,2014,7,5,5,0,NA,3,Inf,BB,X,0,41825.20833,185,0.506849315,3.734197216,5,0,0.052741783,0.052741783,-110.9100037,56.257
BG-0001-028,BG-0001-02801-Jul-147:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-028,2,2014,7,1,7,0,NA,3,Inf,BB,X,0,41821.29167,181,0.495890411,3.670337734,7,0,0.138735928,0.138735928,-110.9100037,56.257
BG-0001-028,BG-0001-02801-Jul-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-028,3,2014,7,1,5,0,NA,3,Inf,BB,X,0,41821.20833,181,0.495890411,3.670337734,5,0,0.055402594,0.055402594,-110.9100037,56.257
BG-0001-059,BG-0001-05922-Jun-147:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-059,1,2014,6,22,7,0,NA,3,Inf,BB,X,0,41812.29167,172,0.471232877,3.581217505,7,0,0.142449271,0.142449271,-110.8929977,56.2748985
BG-0001-059,BG-0001-05923-Jun-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-059,2,2014,6,23,5,0,NA,3,Inf,BB,X,0,41813.20833,173,0.473972603,3.586488805,5,0,0.0588963,0.0588963,-110.8929977,56.2748985
BG-0001-059,BG-0001-05911-Jun-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-059,3,2014,6,11,5,0,NA,3,Inf,BB,X,0,41801.20833,161,0.44109589,3.596903045,5,0,0.058462373,0.058462373,-110.8929977,56.2748985
BG-0001-074,BG-0001-07414-Jun-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-074,1,2014,6,14,5,0,NA,3,Inf,BB,X,0,41804.20833,164,0.449315068,3.578031679,5,0,0.05924868,0.05924868,-110.8929977,56.2839012
BG-0001-074,BG-0001-07417-Jun-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-074,2,2014,6,17,5,0,NA,3,Inf,BB,X,0,41807.20833,167,0.457534247,3.570361578,5,0,0.059568268,0.059568268,-110.8929977,56.2839012
BG-0001-074,BG-0001-07424-Jun-147:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-074,4,2014,6,24,7,0,NA,3,Inf,BB,X,0,41814.29167,174,0.476712329,3.591673559,7,0,0.142013602,0.142013602,-110.8929977,56.2839012
BG-0001-133,BG-0001-13302-Jul-145:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-133,1,2014,7,2,5,0,NA,3,Inf,BB,X,0,41822.20833,182,0.498630137,3.676855949,5,0,0.055131002,0.055131002,-110.9089966,56.3199005
BG-0001-133,BG-0001-13302-Jul-1410:00:00 AM,BG,Unlim.Dist.ARU,BG-0001,BG-0001-133,3,2014,7,2,10,0,NA,3,Inf,BB,X,0,41822.41667,182,0.498630137,3.676855949,10,0,0.263464335,0.263464335,-110.9089966,56.3199005
